date,NetPnL,total_bp,triplet
2026-06-18,276.4884585601551,40316.00754687519,1.0
2026-06-22,92.76314736644176,39668.82941027848,1.0
2026-06-23,-1193.602286903628,46639.38357962044,1.0
2026-06-24,-135.62393469220112,40992.3241155667,1.0
2026-06-25,1061.676086660785,90119.8872941988,2.0
2026-06-26,1334.1197010391331,50000.0,1.0
2026-06-29,-3324.293203267155,93589.21692902135,2.0
