date,NetPnL,triplet
2026-06-18,8612.365515564506,69.0
2026-06-22,11614.94635392283,68.0
2026-06-23,26548.229901636332,67.0
2026-06-24,16529.55086023695,67.0
2026-06-25,-11826.336566069916,66.0
2026-06-26,-2184.962511935255,65.0
2026-06-29,208.69747803994397,61.0
